"ASV","20190226_EB","CN18FESPkoa_SC1","CN18FESPkoa_SC59","CN18S_koa3G_SC29","CN18S_koa3G_SC30","CN18S_koa3G_SC31","CN18S_koa3G_SC57","CN18S_koa3G_SC58","CN18S_koa3G_SC59","rowsum","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"64b7f64aac846cb86f1eaa8fac017de6",0,0,0,0,0,26,0,0,0,26,"Bacteria"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," NS9_marine_group"," NS9_marine_group"," "
"99deb3c5ecb022ec05609ebd1112a557",0,18,0,0,0,8,0,0,0,26,"Bacteria"," Bacteroidota"," Bacteroidia"," Bacteroidales"," Bacteroidaceae"," Bacteroides"," uncultured_bacterium"
"0678751fed080c75058c56eccca734af",0,26,0,0,0,0,0,0,0,26,"Bacteria"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," Crocinitomicaceae"," Crocinitomix"," "
"ff6343b6cbb7062ef34d3517d89c428a",0,26,0,0,0,0,0,0,0,26,"Bacteria"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," Flavobacteriaceae"," Mesonia"," "
"b6904b132fa7e312b8dc2803932d7f2d",0,0,0,0,0,25,0,0,0,25,"Bacteria"," Cyanobacteria"," Cyanobacteriia"," Chloroplast"," Chloroplast"," Chloroplast"," "
"5502fab5ea28231060c04e16998f9276",0,25,0,0,0,0,0,0,0,25,"Bacteria"," Actinobacteriota"," Actinobacteria"," Corynebacteriales"," Dietziaceae"," Dietzia"," Dietzia_maris"
"43207165d765bdd6edde112306fdca3a",0,13,0,0,0,0,0,0,10,23,"Bacteria"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," Flavobacteriaceae"," uncultured"," uncultured_bacterium"
"959f245497b6ac8e038f5a5b52f6165f",0,0,0,0,0,22,0,0,0,22,"Bacteria"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," Cryomorphaceae"," NS10_marine_group"," "
"8cdbc15b05ede9fca4b9b3a581278e0a",0,0,0,0,9,13,0,0,0,22,"Bacteria"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," Flavobacteriaceae"," "," "
"65d43491988bfe557da4d86a5ba25dae",0,12,0,10,0,0,0,0,0,22,"Bacteria"," Firmicutes"," Bacilli"," Staphylococcales"," Staphylococcaceae"," Staphylococcus"," "
"97e25be8718c0e8e41fb72c107b93076",0,22,0,0,0,0,0,0,0,22,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Oceanospirillales"," Alcanivoracaceae1"," Alcanivorax"," uncultured_Alcanivorax"
"8591bffc07a87a1cee4dd8f1b2ed0c22",0,22,0,0,0,0,0,0,0,22,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales"," Comamonadaceae"," Aquabacterium"," uncultured_bacterium"
"c6c422e7937936cc8b3aa5a8b979de90",0,0,0,0,0,22,0,0,0,22,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Alteromonadaceae"," Paraglaciecola"," "
"aa6558e0b5b4d57e01d63c6800a78452",0,0,0,0,0,0,0,0,21,21,"Bacteria"," Cyanobacteria"," Cyanobacteriia"," Chloroplast"," Chloroplast"," Chloroplast"," "
"6fbfd7a942ccf4066297155037dc0bf1",0,13,0,5,0,3,0,0,0,21,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Alteromonadaceae"," uncultured"," Catenovulum_sp."
"00a96fbd0ac34bfd245f9c24f8737f7d",0,21,0,0,0,0,0,0,0,21,"Bacteria"," Firmicutes"," Clostridia"," Lachnospirales"," Lachnospiraceae"," Blautia"," "
"ec9562edcf3986f9a56ee377d8ff737c",13,0,0,0,0,0,0,0,8,21,"Bacteria"," Cyanobacteria"," Cyanobacteriia"," Chloroplast"," Chloroplast"," Chloroplast"," "
"b1c671dde7f6e801af6fd0b3085cb475",0,0,0,3,0,17,0,0,0,20,"Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhodobacterales"," Rhodobacteraceae"," Ascidiaceihabitans"," "
"06f825b512d903b9230e1a55d87359ee",0,0,0,0,10,10,0,0,0,20,"Bacteria"," Firmicutes"," Bacilli"," Lactobacillales"," Streptococcaceae"," Streptococcus"," "
