"ASV","20180724_EB_AA","20180802_EB_AA","20180815_EB_AA","20180908_CB_HH","20180909_CB_HH","20180910_CB_HH","20181211_EB_CC","20181212_EB_CC","20181218_EB_CC","20190619_EB_HH","CN18FESPkoa_SC1_CC","CN18FESPkoa_SC59_CC","CN18S_koa3G_SC29_CC","CN18S_koa3G_SC30_CC","CN18S_koa3G_SC31_CC","CN18S_koa3G_SC57_CC","CN18S_koa3G_SC58_CC","CN18S_koa3G_SC59_CC","pcr_blank_1_CC","pcr_blank_2_CC","pcr_blank_3_CC","pcrblank_1_AA","pcrblank_1_HH","pcrblank_2_AA","pcrblank_2_HH","pcrblank_3_AA","pcrblank_3_HH","rowsum","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_306",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843,0,0,0,0,0,0,0,0,0,843,"no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"ASV_4204",0,0,0,299,215,64,0,0,260,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,839,"Eukaryota","Ochrophyta","Chrysophyceae","Chromulinales","Chromulinaceae","Uroglena","s_"
"ASV_9707",0,0,0,0,0,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828,"Eukaryota","unknown","unknown","Choanoflagellata","Acanthoecidae","g_","s_"
"ASV_683",0,0,0,0,0,0,0,0,0,0,0,0,0,0,819,0,0,0,0,0,0,0,0,0,0,0,0,819,"Eukaryota","Bacillariophyta","Coscinodiscophyceae","Rhizosoleniales","Rhizosoleniaceae","Rhizosolenia","unassigned"
"ASV_4208",0,0,0,0,0,0,0,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818,"Eukaryota","Euglenozoa","unknown","Diplonemea","Diplonemidae","g_","s_"
"ASV_79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,616,0,0,0,0,0,0,0,0,0,813,"Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","unassigned"
"ASV_4161",0,0,0,0,0,0,0,0,0,0,0,0,310,0,44,224,235,0,0,0,0,0,0,0,0,0,0,813,"Eukaryota","Arthropoda","Insecta","Coleoptera","Carabidae","Xenotrechus","s_"
"ASV_4117",0,0,0,51,212,167,0,0,305,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,"Eukaryota","unknown","Aphelidea","unknown","unknown","g_","s_"
"ASV_4164",0,0,0,0,0,0,617,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,"Eukaryota","Ochrophyta","Chrysophyceae","Hydrurales","Hydruraceae","Hydrurus","s_"
"ASV_78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,807,0,0,0,0,0,0,0,0,0,0,0,0,807,"Eukaryota","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros didymus"
"ASV_4129",0,0,0,160,88,0,0,0,557,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,"Eukaryota","unknown","unknown","Choanoflagellata","Salpingoecidae","Sphaeroeca","s_"
"ASV_4211",0,0,0,0,0,0,635,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,801,"Eukaryota","Basidiomycota","Tremellomycetes","unassigned","unassigned","unassigned","unassigned"
