#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_47122	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	g_	s_
ASV_47123	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_47124	Eukaryota	Ctenophora	Tentaculata	unassigned	unassigned	g_	s_
ASV_47125	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_47126	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_47127	Eukaryota	Haptophyta	Haptophyta	Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi
ASV_47143	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_47164	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_47165	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_47166	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_47169	Eukaryota	Picozoa	unknown	unknown	unknown	g_	s_
ASV_47170	Eukaryota	Haptophyta	Haptophyta	Isochrysidales	Noelaerhabdaceae	Emiliania	s_
ASV_47171	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_47172	Eukaryota	Ciliophora	Oligohymenophorea	Philasterida	Loxocephalidae	g_	s_
ASV_47173	Eukaryota	Oomycota	Oomycetes	Saprolegniales	Saprolegniaceae	g_	s_
ASV_47174	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_47175	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_47176	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_47177	Eukaryota	Annelida	Polychaeta	unknown	Paraonidae	g_	s_
ASV_47217	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_47218	Eukaryota	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	g_	s_
ASV_47219	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Metridinidae	Metridia	Metridia lucens
ASV_47221	Eukaryota	Haptophyta	Haptophyta	Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi
ASV_47222	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Sphaeronectidae	Sphaeronectes	Sphaeronectes gracilis
ASV_47223	Eukaryota	Haptophyta	Haptophyta	Phaeocystales	Phaeocystaceae	g_	s_
ASV_47224	Eukaryota	Oomycota	Oomycetes	Peronosporales	Peronosporaceae	g_	s_
ASV_47225	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Ctenocalanus	Ctenocalanus vanus
ASV_47226	Eukaryota	Bacillariophyta	unassigned	unassigned	unassigned	g_	s_
ASV_47227	Eukaryota	Picozoa	unknown	unknown	unknown	g_	s_
ASV_47228	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_47229	Eukaryota	Haptophyta	Haptophyta	Phaeocystales	Phaeocystaceae	g_	s_
ASV_47230	Eukaryota	Arthropoda	Insecta	Diptera	Sciomyzidae	g_	s_
ASV_47231	Eukaryota	Arthropoda	unknown	unknown	unknown	g_	s_
ASV_47236	Eukaryota	Bacillariophyta	unassigned	unassigned	unassigned	g_	s_
ASV_47249	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_47276	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_47277	Eukaryota	Ochrophyta	Phaeophyceae	Ectocarpales	Acinetosporaceae	g_	s_
ASV_47278	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_47279	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_47280	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_47281	unassigned	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_47282	unassigned	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_47283	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_47284	Eukaryota	Echinodermata	Ophiuroidea	Ophiurida	Amphiuridae	Amphipholis	s_
ASV_47285	Eukaryota	Arthropoda	Insecta	Orthoptera	Phalangopsidae	g_	s_
ASV_47286	Eukaryota	Arthropoda	Hexanauplia	Calanoida	unassigned	g_	s_
ASV_47287	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus parapergens
ASV_47288	Eukaryota	Ochrophyta	Phaeophyceae	unassigned	unassigned	g_	s_
ASV_47289	Eukaryota	Oomycota	Oomycetes	Saprolegniales	Saprolegniaceae	g_	s_
ASV_47290	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_47291	Eukaryota	Haptophyta	Haptophyta	Phaeocystales	Phaeocystaceae	g_	s_
ASV_47292	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_47293	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_47304	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_47342	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_47343	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_47344	unassigned	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_47345	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_47346	unassigned	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_47347	Eukaryota	unknown	Pelagophyceae	Pelagomonadales	unknown	g_	s_
ASV_47348	Eukaryota	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	g_	s_
ASV_47349	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	g_	s_
ASV_47350	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_47351	Eukaryota	Arthropoda	Malacostraca	Mysida	Mysidae	g_	s_
ASV_47352	Eukaryota	Porifera	Demospongiae	Clionaida	Spirastrellidae	g_	s_
ASV_47353	Eukaryota	Arthropoda	Insecta	Diptera	unassigned	g_	s_
ASV_47354	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_47355	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
