#OTUID	CN18Sc14_8_eDNA	CN18Sc15_8_eDNA	CN18Sc18_8_eDNA	CN18Sc27_8_eDNA	CN18SESPkoa_SC36	CN18SESPkoa_SC39	CN18SESPkoa_SC41	CN18SESPkoa_SC44
555b33eb3c6ce5539cd445d2eb736bd1	28	425	216	339	427	51	116	12
900afa963e27408f431a968c0a29c4ba	45	9	43	24	129	6	4	0
7ec8be180094b588aa83a84c0d44387e	0	385	179	274	350	120	141	69
1512f5e7d39b6518d5fc44028793e352	51	0	0	0	28	0	0	0
1c5137af8879c970dc20efc46c2ce06e	0	108	122	39	645	269	90	0
557d923b771ffccf23232435947560e5	22	0	16	0	46	12	0	0
2cb5168f4afe03c40fd0ad5e047240a3	0	0	0	0	0	0	0	0
54cc659a0c4140d01149110f02a25aa4	47	0	0	0	0	0	0	0
9d117c903d01fafc549a3d05970373e1	0	0	0	6	0	0	0	0
f721e502fc56d190ffc1b0f0f7aef852	70	0	46	0	95	0	0	0
12f2239b1f748cf12532f2cd51cce413	63	0	22	0	61	0	0	0
8425d4cf5f4dc882ae2abe971230a45c	0	0	0	0	926	330	297	36
78f8469b79e1a862e71856894ef8b0af	27	44	102	69	388	101	234	28
3f07c5798efd8deb6095045db89ee137	0	0	26	14	32	5	4	0
9f2e26026c7d3db1186e5686e15fc8ab	0	0	0	0	1092	536	0	0
4df8c6b9622c8bcaf59e7ef49370fc5f	31	0	3	0	73	0	0	0
825cfba5237338118f5512de2223cabc	28	0	16	0	146	0	3	0
88a4d20f62b432fb973bcce573ef2f0c	80	0	0	0	132	0	0	0
0a7fcb035d8e3e8b7c3a2a166951b888	0	0	0	0	0	0	0	0
27b7cbfd478578ae99ace7d2c29b3684	0	0	320	69	329	84	0	0
7b2894c3ec91865016a55cf486381fd8	50	0	0	0	0	0	0	0
2fa4a60ed90218582d3692d8e1e61e4d	71	0	30	8	31	0	0	0
30f6e633bc389ef16701e70ef28a02cb	0	3	7	8	12	0	0	0
a41c9a915c15a940fa6669382da25619	0	0	0	0	0	0	0	0
a4897cfba658795b03dfebedb761711d	90	0	0	0	45	0	0	0
675b8ccf722dfa61a8cfa53c4bb84f8e	47	0	8	0	99	0	0	0
b47d2421437e0c941114025e7dc183b4	0	0	25	0	193	22	18	0
9879a750c4dcbe94271efc3a64a8dcc6	0	0	0	0	0	0	0	0
763e8b0537b3dcc8de18fe2024bdfb99	0	0	139	39	166	0	0	0
95eb5b658eb4216b0c678774373f8c01	54	0	0	0	0	0	0	0
27c5c0473731a86bd3e086d2cae58fde	0	0	14	0	861	377	90	22
c191261eecdb2363498ade5aaa7c186a	0	0	9	3	19	0	0	0
d42388fc4cf6030ffcd61d83955333c4	7	13	19	23	88	12	15	3
113d4200ee22134b27106ce11dfb59a0	0	0	11	0	26	0	0	0
3f8370d5341692ef7e6f31eae982ed21	54	0	0	0	24	0	0	0
d883d67ee4be138f4d565dfd6090fae5	48	0	0	0	0	0	0	0
bec8d8dd1a6a102bc0f749e4fb1c2e87	0	231	0	196	671	150	208	0
64376b778ae398e5c11ba96719f9d8ae	0	0	72	0	513	130	44	0
ec74354f40bb1208802c2a96eec05702	0	65	33	35	294	102	29	28
94bfad3e19f39e90f45f263b0a6a53dd	0	0	0	0	76	0	0	0
c8e6df40f829dcb35b6f9d2735256c45	41	0	0	0	53	0	0	0
4ed6dce72cfd066a4f2721b3ed99c424	0	0	0	0	24	0	0	0
1fae7588baccdfd0cc4d956aadd083f9	0	0	0	0	0	0	0	0
08c85fe6ede53e1b47110402705f7c3a	0	33	0	0	0	0	0	0
8188598a9b197d172cfc57da67efb2ab	10	69	46	91	109	0	30	5
