"","CANON_AKU1_22_X","CANON_AKU2_22_X","CANON_AKU3_22_X","CANON_AKU4_22_X","CANON_B10_22_X","CANON_B13_22_X","CANON_B17_22_X","CANON_B1_22_X","CANON_B20_22_X","CANON_B23_22_X","CANON_CBI10_22_X","CANON_CBI1_22_X","CANON_CBI4_22_X","CANON_CBI5_22_X","CANON_CBI8_22_X","CANON_CBI9_22_X"
"ASV_8521",0,0,2,116,0,8,6,16,0,2,23,0,0,0,5,0
"ASV_8523",4,0,4,3,0,0,12,7,0,0,4,0,0,0,4,0
"ASV_8525",6,0,1,1,1,4,14,5,0,0,5,0,0,0,0,26
"ASV_8527",0,59,2,67,96,50,20,0,1,31,63,0,5,19,5,27
"ASV_8528",67,0,66,33,1,14,9,9,0,0,2,0,4,7,21,94
"ASV_8532",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"ASV_8533",0,25,0,0,0,42,0,0,0,1,12,0,26,35,0,0
"ASV_8538",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"ASV_8541",41,23,0,0,0,212,297,30,0,1,91,0,33,50,276,8
"ASV_8543",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_8544",62,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_8545",0,0,0,0,0,76,0,0,0,0,0,0,0,22,0,0
"ASV_8548",50,0,113,26,0,2,164,44,0,0,11,0,0,16,8,84
"ASV_8551",17,50,6,22,209,23,10,15,18,13,5,0,6,8,0,22
"ASV_8553",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"ASV_8559",0,0,0,3,0,0,38,0,0,0,13,0,0,1,8,12
"ASV_8562",0,541,0,19,0,31,0,0,25,29,0,0,0,1,0,0
"ASV_8564",4,0,1,0,16,76,0,0,0,3,15,0,12,74,0,0
"ASV_8566",0,0,0,0,0,0,0,0,415,0,0,0,0,0,0,0
"ASV_8569",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV_8570",0,0,0,13,0,0,1,0,0,0,0,1,0,3,0,0
"ASV_8571",1,1,16,15,0,5,6,16,2,0,12,0,0,1,18,50
"ASV_8574",0,0,1,7,0,3,0,5,0,5,5,0,0,8,3,5
